NADA,0,370
CPU Package,A,1
CPU Package,4,401
Motherboard,530,756
Motherboard,34,38
,1,1
,0,380
NADA,0,370
CPU Package,A,1
CPU Package,4,401
Motherboard,530,756
Motherboard,34,38
,1,1
,0,380
NADA,0,370
CPU Package,A,1
CPU Package,4,401
Motherboard,530,756
Motherboard,34,38
,1,1
,0,380
NADA,1,371
CPU Package,A,2
CPU Package,5,402
Motherboard,531,757
Motherboard,35,39
NADA,1,371
CPU Package,A,2
CPU Package,5,402
Motherboard,531,757
Motherboard,35,39
,2,2
,1,381
NADA,2,372
CPU Package,A,3
CPU Package,6,403
Motherboard,532,758
Motherboard,36,40
NADA,2,372
CPU Package,A,3
CPU Package,6,403
Motherboard,532,758
Motherboard,36,40
,3,3
,2,382
NADA,3,373
CPU Package,A,4
CPU Package,7,404
Motherboard,533,759
Motherboard,37,41
NADA,3,373
CPU Package,A,4
CPU Package,7,404
Motherboard,533,759
Motherboard,37,41
,4,4
,3,383
NADA,4,374
CPU Package,A,5
CPU Package,8,405
Motherboard,534,760
Motherboard,38,42
NADA,4,374
CPU Package,A,5
CPU Package,8,405
Motherboard,534,760
Motherboard,38,42
,5,5
,4,384
NADA,5,375
CPU Package,A,6
CPU Package,9,406
Motherboard,535,761
Motherboard,39,43
NADA,5,375
CPU Package,A,6
CPU Package,9,406
Motherboard,535,761
Motherboard,39,43
,6,6
,5,385
NADA,6,376
CPU Package,A,7
CPU Package,10,407
Motherboard,536,762
Motherboard,40,44
NADA,6,376
CPU Package,A,7
CPU Package,10,407
Motherboard,536,762
Motherboard,40,44
,7,7
,6,386
NADA,7,377
CPU Package,A,8
CPU Package,11,408
Motherboard,537,763
Motherboard,41,45
NADA,7,377
CPU Package,A,8
CPU Package,11,408
Motherboard,537,763
Motherboard,41,45
,8,8
,7,387
NADA,8,378
CPU Package,A,9
CPU Package,12,409
Motherboard,538,764
Motherboard,42,46
NADA,8,378
CPU Package,A,9
CPU Package,12,409
Motherboard,538,764
Motherboard,42,46
,9,9
,8,388
NADA,9,379
CPU Package,A,10
CPU Package,13,410
Motherboard,539,765
Motherboard,43,47
NADA,9,379
CPU Package,A,10
CPU Package,13,410
Motherboard,539,765
Motherboard,43,47
,10,10
,9,389
NADA,10,380
CPU Package,A,11
CPU Package,14,411
Motherboard,540,766
Motherboard,44,48
NADA,10,380
CPU Package,A,11
CPU Package,14,411
Motherboard,540,766
Motherboard,44,48
,11,11
,10,390
NADA,11,381
CPU Package,A,12
CPU Package,15,412
Motherboard,541,767
Motherboard,45,49
NADA,11,381
CPU Package,A,12
CPU Package,15,412
Motherboard,541,767
Motherboard,45,49
,12,12
,11,391
NADA,12,382
CPU Package,A,13
CPU Package,16,413
Motherboard,542,768
Motherboard,46,50
NADA,12,382
CPU Package,A,13
CPU Package,16,413
Motherboard,542,768
Motherboard,46,50
,13,13
,12,392
NADA,13,383
CPU Package,A,14
CPU Package,17,414
Motherboard,543,769
Motherboard,47,51
NADA,13,383
CPU Package,A,14
CPU Package,17,414
Motherboard,543,769
Motherboard,47,51
,14,14
,13,393
NADA,14,384
CPU Package,A,15
CPU Package,18,415
Motherboard,544,770
Motherboard,48,52
NADA,14,384
CPU Package,A,15
CPU Package,18,415
Motherboard,544,770
Motherboard,48,52
,15,15
,14,394
NADA,15,385
CPU Package,A,16
CPU Package,19,416
Motherboard,545,771
Motherboard,49,53
NADA,15,385
CPU Package,A,16
CPU Package,19,416
Motherboard,545,771
Motherboard,49,53
,16,16
,15,395
NADA,16,386
CPU Package,A,17
CPU Package,20,417
Motherboard,546,772
Motherboard,50,54
NADA,16,386
CPU Package,A,17
CPU Package,20,417
Motherboard,546,772
Motherboard,50,54
,17,17
,16,396
NADA,17,387
CPU Package,A,18
CPU Package,21,418
Motherboard,547,773
Motherboard,51,55
NADA,17,387
CPU Package,A,18
CPU Package,21,418
Motherboard,547,773
Motherboard,51,55
,18,18
,17,397
NADA,18,388
CPU Package,A,19
CPU Package,22,419
Motherboard,548,774
Motherboard,52,56
NADA,18,388
CPU Package,A,19
CPU Package,22,419
Motherboard,548,774
Motherboard,52,56
,19,19
,18,398
NADA,19,389
CPU Package,A,20
CPU Package,23,420
Motherboard,549,775
Motherboard,53,57
NADA,19,389
CPU Package,A,20
CPU Package,23,420
Motherboard,549,775
Motherboard,53,57
,20,20
,19,399
NADA,20,390
CPU Package,A,21
CPU Package,24,421
Motherboard,550,776
Motherboard,54,58
NADA,20,390
CPU Package,A,21
CPU Package,24,421
Motherboard,550,776
Motherboard,54,58
,21,21
,20,400
NADA,21,391
CPU Package,A,22
CPU Package,25,422
Motherboard,551,777
Motherboard,55,59
NADA,21,391
CPU Package,A,22
CPU Package,25,422
Motherboard,551,777
Motherboard,55,59
,22,22
,21,401
NADA,22,392
CPU Package,A,23
CPU Package,26,423
Motherboard,552,778
Motherboard,56,60
NADA,22,392
CPU Package,A,23
CPU Package,26,423
Motherboard,552,778
Motherboard,56,60
,23,23
,22,402
NADA,23,393
CPU Package,A,24
CPU Package,27,424
Motherboard,553,779
Motherboard,57,61
NADA,23,393
CPU Package,A,24
CPU Package,27,424
Motherboard,553,779
Motherboard,57,61
,24,24
,23,403
NADA,24,394
CPU Package,A,25
CPU Package,28,425
Motherboard,554,780
Motherboard,58,62
NADA,24,394
CPU Package,A,25
CPU Package,28,425
Motherboard,554,780
Motherboard,58,62
,25,25
,24,404
NADA,25,395
CPU Package,A,26
CPU Package,29,426
Motherboard,555,781
Motherboard,59,63
NADA,25,395
CPU Package,A,26
CPU Package,29,426
Motherboard,555,781
Motherboard,59,63
,26,26
,25,405
NADA,26,396
CPU Package,A,27
CPU Package,30,427
Motherboard,556,782
Motherboard,60,64
NADA,26,396
CPU Package,A,27
CPU Package,30,427
Motherboard,556,782
Motherboard,60,64
,27,27
,26,406
NADA,27,397
CPU Package,A,28
CPU Package,31,428
Motherboard,557,783
Motherboard,61,65
NADA,27,397
CPU Package,A,28
CPU Package,31,428
Motherboard,557,783
Motherboard,61,65
,28,28
,27,407
NADA,28,398
CPU Package,A,29
CPU Package,32,429
Motherboard,558,784
Motherboard,62,66
NADA,28,398
CPU Package,A,29
CPU Package,32,429
Motherboard,558,784
Motherboard,62,66
,29,29
,28,408
NADA,29,399
CPU Package,A,30
CPU Package,33,430
Motherboard,559,785
Motherboard,63,67
NADA,29,399
CPU Package,A,30
CPU Package,33,430
Motherboard,559,785
Motherboard,63,67
,30,30
,29,409
NADA,30,400
CPU Package,A,31
CPU Package,34,431
Motherboard,560,786
Motherboard,64,68
NADA,30,400
CPU Package,A,31
CPU Package,34,431
Motherboard,560,786
Motherboard,64,68
,31,31
,30,410
NADA,31,401
CPU Package,A,32
CPU Package,35,432
Motherboard,561,787
Motherboard,65,69
NADA,31,401
CPU Package,A,32
CPU Package,35,432
Motherboard,561,787
Motherboard,65,69
,32,32
,31,411
NADA,32,402
CPU Package,A,33
CPU Package,36,433
Motherboard,562,788
Motherboard,66,70
NADA,32,402
CPU Package,A,33
CPU Package,36,433
Motherboard,562,788
Motherboard,66,70
,33,33
,32,412
NADA,33,403
CPU Package,A,34
CPU Package,37,434
Motherboard,563,789
Motherboard,67,71
NADA,33,403
CPU Package,A,34
CPU Package,37,434
Motherboard,563,789
Motherboard,67,71
,34,34
,33,413
NADA,34,404
CPU Package,A,35
CPU Package,38,435
Motherboard,564,790
Motherboard,68,72
NADA,34,404
CPU Package,A,35
CPU Package,38,435
Motherboard,564,790
Motherboard,68,72
,35,35
,34,414
NADA,35,405
CPU Package,A,36
CPU Package,39,436
Motherboard,565,791
Motherboard,69,73
NADA,35,405
CPU Package,A,36
CPU Package,39,436
Motherboard,565,791
Motherboard,69,73
,36,36
,35,415
NADA,36,406
CPU Package,A,37
CPU Package,40,437
Motherboard,566,792
Motherboard,70,74
NADA,36,406
CPU Package,A,37
CPU Package,40,437
Motherboard,566,792
Motherboard,70,74
,37,37
,36,416
NADA,37,407
CPU Package,A,38
CPU Package,41,438
Motherboard,567,793
Motherboard,71,75
NADA,37,407
CPU Package,A,38
CPU Package,41,438
Motherboard,567,793
Motherboard,71,75
,38,38
,37,417
NADA,38,408
CPU Package,A,39
CPU Package,42,439
Motherboard,568,794
Motherboard,72,76
NADA,38,408
CPU Package,A,39
CPU Package,42,439
Motherboard,568,794
Motherboard,72,76
,39,39
,38,418
NADA,39,409
CPU Package,A,40
CPU Package,43,440
Motherboard,569,795
Motherboard,73,77
NADA,39,409
CPU Package,A,40
CPU Package,43,440
Motherboard,569,795
Motherboard,73,77
,40,40
,39,419
NADA,40,410
CPU Package,A,41
CPU Package,44,441
Motherboard,570,796
Motherboard,74,78
NADA,40,410
CPU Package,A,41
CPU Package,44,441
Motherboard,570,796
Motherboard,74,78
,41,41
,40,420
NADA,41,411
CPU Package,A,42
CPU Package,45,442
Motherboard,571,797
Motherboard,75,79
NADA,41,411
CPU Package,A,42
CPU Package,45,442
Motherboard,571,797
Motherboard,75,79
,42,42
,41,421
NADA,42,412
CPU Package,A,43
CPU Package,46,443
Motherboard,572,798
Motherboard,76,80
NADA,42,412
CPU Package,A,43
CPU Package,46,443
Motherboard,572,798
Motherboard,76,80
,43,43
,42,422
NADA,43,413
CPU Package,A,44
CPU Package,47,444
Motherboard,573,799
Motherboard,77,81
NADA,43,413
CPU Package,A,44
CPU Package,47,444
Motherboard,573,799
Motherboard,77,81
,44,44
,43,423
NADA,44,414
CPU Package,A,45
CPU Package,48,445
Motherboard,574,800
Motherboard,78,82
NADA,44,414
CPU Package,A,45
CPU Package,48,445
Motherboard,574,800
Motherboard,78,82
,45,45
,44,424
NADA,45,415
CPU Package,A,46
CPU Package,49,446
Motherboard,575,801
