Core #0 Usage [%],Core #1 Usage [%],Core #2 Usage [%],Core #3 Usage [%],Core #4 Usage [%],Core #5 Usage [%],Core #6 Usage [%],Core #7 Usage [%]
13.8,13.1,11.6,5.8,2.9,1.4,0,0
11.3,21.2,29.5,6.8,3.8,1.5,0,0.7
6.5,16,15.3,3.7,0,0,0,0
12,4.5,5.3,6,3,1.5,0,0
35.6,21.9,11.9,14.9,0,0,0,0
27.6,20.8,17.9,15.6,9.7,6.7,0,0
28.7,31.8,27.2,19.6,15.3,12.3,3,3.8
30.8,26.3,36,33,8.1,2.2,1.4,1.4
23.5,27.9,50,39.7,6.6,7.3,1.4,2.9
7.5,7.5,3.8,2.2,0.7,0,0,0
12.1,10.6,11.2,10.5,8.2,3.7,1.4,1.5
3.7,3.7,1.5,0.7,0,0,0,0
1.4,1.4,3.7,0.7,0,0,0,0
24.8,10.5,10.5,9,1.4,0,0,0
25.7,23.5,26.6,21.4,13.3,5.1,5.8,3.6
24.6,18.4,12.2,23.8,0,0.6,0,0
30.2,42.2,21.4,13.4,12,12,4,5.3
20,11.9,13.3,17.1,4.4,5.1,0,0
19.2,16.9,14,14.7,2.2,2.2,0,0
36.6,25.8,41.7,30.2,20.8,13,7.2,7.1
39.5,36.5,33.5,32,36.5,23.8,17.1,15
23.3,18.3,19.7,10.2,18.9,14.4,3.6,4.3
20.6,15.9,16,14.5,7.6,6.9,0,0
21,15,18,8.2,9.7,4.4,5.2,4.5
24,25.7,19.5,13.5,9.8,5.3,0.7,0
9.2,5.6,9.2,5,0.7,0,0,0
3.6,2.2,0,1.4,0,0,0,0
3.6,3.6,2.1,0,0,0,0,0
4.4,8.2,3.6,2.9,0,0,0,0
1.5,2.2,3,0.7,0,0,0,0
5.6,8.4,4.2,2.1,0.7,0,0,0
27,28.5,20.3,18.7,0,0,0,0
12.8,10.6,0.7,11.4,0,0,0,0
26.5,18.1,11.2,9,0,0,0,0.7
9.6,26.2,11.7,18.7,5.5,4.8,1.3,2.7
31.2,23.4,25.5,23.9,26.9,17.7,9.2,13.4
11.3,18.1,18.1,13.6,0,0,0,0
15.9,10.6,12.1,9.8,3.7,3.7,0,0
8.3,4.5,6.8,3.7,4.5,1.5,0,0
11.2,8.2,12.7,14.2,0.7,0.7,0.7,0
8.7,6.5,4.4,5.8,0,0,0,0
13.5,11.2,28.1,2.9,5.2,0.7,3.7,16.4
14.1,73.1,24.6,14.1,2.9,4.4,0,0
28.5,42.1,18.7,21.8,3,0.7,0.7,0.7
25.5,31.5,16.6,46.9,0,0,0,0
22.5,43.6,29.8,31.3,3.7,1.5,0,0
21.8,32.1,8.8,1.4,0,0,0,0
11.8,8.8,6.6,2.9,2.2,2.2,0.7,0.7
14.6,14,7.2,8.6,0,0,0.6,0
14.4,7.9,12.3,3.6,0,0,0,0
16.1,19,5.5,5.5,0,0,0.7,0
22.7,25.7,36,13.2,7.2,1.4,0.7,5.1
33.3,33.3,21.2,22.7,0,2.2,0,0
25,39.5,27,20.1,0.6,0,0,0
34.7,49.2,25.3,18.1,2.1,2.1,0,0
31.8,33.3,23.7,22.2,3.7,6.7,0,0
26.3,42.8,31.5,9.8,1.5,0,10.6,0
17.2,21,11.2,13.4,0,0,0.7,0
10.6,12.8,11.3,8.3,0,0,0,0
15,9.7,8.2,12,4.4,2.2,0,0
13.6,13.6,15.1,14.3,0,0,0,0.7
12.7,10.5,9.7,9.7,2.2,3,0,0
24.2,17.4,16.6,12.1,1.5,1.5,0,0
38,12.6,13.4,10.4,3,6,0,0
18.1,12.1,14.3,12.8,14.9,8.9,0,0
12.5,8,14.7,8,11,7.4,0.7,0.7
14.8,11.8,7.4,10.3,2.2,3.6,0,0
14.3,9.8,10.6,6,6.8,3.7,0,0
14.3,15.1,19.6,14.3,0,0,0,0
24,12,18.7,15.7,9.7,7.4,0,0.7
14.3,15.1,19.6,17.4,0.7,2.2,0,0
28.5,15.1,17.4,14.3,15.7,10.6,0,0
27.2,18,19.5,18,16.1,12.2,0,0
39,15.7,15.7,16.5,6,6.7,0,0
25,17.4,15.9,15.1,6,1.4,0,0
15.1,10.6,18.9,10.6,1.5,3.7,0,0
24,18.7,17.2,11.2,2.2,1.5,0,0
25.3,17.8,13.6,16.4,4.1,2.7,0,0
14.3,17.2,17.9,16.5,7.8,5.7,0,0
18.7,19.5,23.3,13.5,9,7.5,0,0
21.2,15.9,13.6,14.3,8.3,4.5,0,0
16.5,4.5,11.2,4.5,8.2,5.9,0,0.7
18.9,15.7,16.6,18.9,8.3,10.7,0,0
21,14.4,13,11.5,7.1,5.7,0,0.7
21.2,12.8,20.4,15.9,6.1,3.8,0,0
26.3,18.7,14.2,19.5,5.2,3,0,0
31.3,23.8,25.3,21.6,3.7,0.7,0,0
18,10.5,16.5,12.7,13.3,8.2,0,0
31,11.3,15.9,15.1,9.8,8.3,0,0.7
20.3,11.3,13.5,12.8,2.2,2.2,0,0
30.5,13.6,16,12.1,0,0,0,0
20.3,8.2,14.2,9.7,3.7,0,0.7,0
14.3,6.8,9.8,9,8.3,6.1,0,0
15.6,5.9,8.9,5.2,6,2.2,0,0
9.8,8.3,10.6,9,0,0,0,0
14.2,6.7,7.5,6.7,0,0,0.7,0
14.8,10.6,25.5,12.7,0.7,0,0,0
18.7,15,12,11.2,0,0,0,0
14.3,14.3,11.3,10.6,2.9,1.4,0,0
21,9,14.2,12.7,0.7,0,0.7,0
9.8,9.8,12.1,9,2.2,0.7,0,0
13.5,10.5,10.5,6,0,0,0,0
12.9,6.1,6.1,6.8,1.5,0,0,0
9,9.7,8.2,3.7,0,0,0.7,0
9.8,6,6,7.5,0,0,0,0
17.4,21.2,19.6,14.3,0,0,0.7,0
18.9,24.2,22.7,21.2,7.5,8.9,12.1,4.4
39,24.8,28.5,28.5,13.5,9,11.2,6.7
40.6,19.5,37.5,24.8,25.5,21.8,40.6,18
40.9,17.4,28,18.9,21.9,16.6,44.6,20.4
34.8,22.7,24.2,17.4,23.4,17.4,40.1,21.2
29.4,15.1,28,15.8,25.1,16.5,36.6,22.3
45.9,18.2,24,18.9,27.7,18.2,32.8,18.2
41.1,21.3,26.4,26.4,24.2,18.3,33,22.7
48,16.7,33.5,17.5,25.1,18.3,46.5,25.9
28.7,17.4,34,12.8,17.4,15.1,41.6,16.6
27.2,18.9,28.7,18.1,26.5,20.4,34.8,12.8
25,22.7,29.5,17.4,20.4,12.8,34.8,24.2
40.9,20.4,28.7,18.9,24.2,15.1,40.9,20.4
31,19.6,31,20.4,22.7,21.9,35.6,20.4
30.3,18.1,34,19.6,24.2,15.1,41.6,23.4
43.9,18.9,25.9,18.9,23.4,13.6,36.3,25
29.3,18,32,18.7,16.5,20.3,35.3,21
30.3,22.7,28.7,21.2,25,18.1,37.1,24.2
34.8,22.7,33.3,22.7,25.7,18.1,45.4,22.7
39.3,23.4,25,21.2,28.7,20.4,39.3,23.4
29.7,16.7,35.8,17.5,21.3,11.4,38.9,16.7
38.3,19.5,31.5,18.7,17.2,18,39.8,21
29,24.4,25.9,19.8,17.5,17.5,41.2,24.4
29.3,18.1,27,15,18.1,12,35.3,18
37.9,26,30.6,25.5,28.9,20.4,44.5,30.6
36.3,21.9,26.5,20.4,21.9,18.1,37.8,21.2
23.6,17.5,29,22.1,17.5,14.5,40.4,20.6
39.8,24.2,29.3,18.7,24,16.5,27.8,25.5
33.5,15.9,32,14.5,29.7,13.7,40.4,25.9
37.5,16.5,24,18.7,19.5,21,42.1,22.5
32,21.6,28.3,18.6,24.6,14.9,35.8,26.8
39.4,24.8,26.2,21.8,27,24.8,35.7,21.1
38.1,22.3,19.4,23,23,19.4,34.5,24.4
