sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
24.201,11.799,12.451,20.936,13.495,5.705,4.072,10.383,10.366,8.387
33.856,2.085,11.463,2.643,11.882,15.487,21.344,5.572,12.244,10.410
5.588,47.433,43.638,19.161,1.547,30.838,2.836,11.101,30.103,6.661
11.151,10.613,0.249,0.515,5.839,2.032,10.143,22.930,22.305,6.185
3.262,4.209,31.188,1.579,34.875,10.580,10.040,17.608,10.521,10.626
3.510,0.059,6.489,5.400,1.810,8.311,1.674,4.674,0.562,0.596
26.201,5.597,25.656,39.231,9.054,14.063,32.691,30.095,4.435,9.752
8.350,0.343,7.603,18.196,19.213,4.613,18.509,1.997,16.599,7.763
3.183,17.894,3.784,13.926,23.483,10.236,11.883,1.527,17.046,3.180
4.200,15.625,13.754,26.670,15.931,5.542,2.299,15.807,1.616,10.742
23.843,5.845,10.055,14.290,10.322,34.065,19.464,4.704,25.719,19.194
4.654,7.421,17.726,12.864,1.703,4.821,4.572,1.284,8.545,21.643
3.951,9.662,16.396,37.227,4.917,0.369,10.791,2.355,4.050,0.958
0.820,4.436,23.887,3.031,0.039,20.606,2.519,6.515,41.716,19.903
11.416,23.704,27.380,34.409,15.415,8.942,4.982,22.800,25.745,21.387
17.599,6.155,25.525,14.363,4.633,30.671,8.263,5.208,0.378,21.232
8.750,14.990,20.540,0.566,0.830,1.863,41.172,8.494,11.914,7.254
1.063,4.299,18.348,0.092,18.449,11.306,3.823,10.108,0.439,4.902
5.738,5.521,16.430,5.423,13.541,4.142,1.457,2.891,21.721,44.087
3.549,0.239,1.357,20.763,26.908,6.857,23.790,30.419,2.664,1.321
2.583,14.877,4.213,3.534,2.155,3.332,23.561,0.243,21.442,32.538
31.669,3.730,6.935,3.327,29.640,2.255,0.495,16.175,5.860,0.480
3.150,17.524,15.468,2.645,3.049,12.721,18.586,28.240,46.230,1.130
43.888,16.836,3.611,15.309,3.523,8.479,4.377,15.998,13.968,0.620
10.842,9.151,18.673,0.448,5.039,8.536,0.097,0.270,29.073,4.970
6.007,8.845,42.337,0.048,30.699,39.646,29.389,19.994,0.656,42.793
0.910,4.902,0.802,19.901,27.188,10.158,11.299,1.699,10.908,30.568
16.377,12.478,6.192,3.377,0.558,7.521,11.987,33.550,7.819,3.130
18.613,12.567,7.597,16.357,1.950,20.309,25.885,0.899,23.885,16.762
29.626,15.912,2.937,9.650,3.252,7.000,2.987,2.140,12.003,5.362
22.821,34.969,5.021,5.416,0.451,25.644,2.358,11.446,1.834,8.228
2.918,17.329,3.695,5.287,5.241,17.572,28.380,9.155,44.898,13.858
29.877,0.496,10.274,5.072,6.977,13.960,0.704,5.228,31.634,12.333
17.810,16.858,29.775,18.773,8.750,15.812,4.741,3.447,2.271,2.024
2.505,4.560,0.159,2.838,19.768,8.327,5.915,5.956,1.869,0.143
7.259,8.191,15.351,19.936,21.675,16.024,0.034,45.637,0.165,12.494
0.524,4.449,2.068,11.559,1.117,45.200,34.997,31.168,2.298,7.129
28.247,23.588,16.781,0.978,8.580,2.444,5.420,25.992,1.994,4.250
0.261,23.064,22.175,4.824,3.871,21.413,26.684,9.563,18.532,12.642
13.673,32.315,6.229,9.528,1.823,11.697,10.248,6.961,9.724,15.662
13.366,43.261,4.266,29.588,20.194,27.541,4.518,6.518,1.216,23.455
7.290,1.555,26.329,5.477,1.265,9.428,3.206,1.432,3.611,0.689
1.881,18.380,4.514,12.692,42.042,12.371,32.250,9.452,25.753,9.124
22.343,16.737,2.482,11.840,13.632,7.437,0.828,6.229,8.877,12.631
0.572,11.340,5.423,0.666,41.802,3.884,16.428,10.135,1.603,6.080
8.119,17.023,1.877,3.012,26.560,2.977,7.437,1.407,7.416,19.101
31.707,33.586,12.472,19.341,40.602,28.236,31.129,29.224,8.417,5.252
14.501,0.766,5.514,5.234,1.460,6.656,28.455,21.123,10.619,4.658
8.384,3.043,3.278,0.041,27.250,24.134,4.003,1.859,13.785,0.499
29.245,1.344,6.796,5.008,15.669,5.843,25.755,37.616,20.156,43.232
5.075,10.764,1.344,14.420,14.132,10.008,2.451,0.903,29.852,0.660
11.325,0.749,1.625,0.040,23.200,9.675,16.735,4.134,5.340,35.714
29.245,26.238,0.363,8.791,4.302,8.680,1.704,17.480,2.618,15.018
2.713,4.995,30.404,25.079,25.398,0.785,10.264,26.412,8.838,26.053
1.292,5.339,49.100,4.417,4.610,1.463,1.779,1.731,7.020,18.702
3.586,4.169,21.497,1.752,17.913,27.918,16.570,9.676,8.060,7.864
0.771,3.863,5.172,40.676,15.186,8.517,16.226,8.540,8.132,8.484
5.591,9.416,16.017,10.179,41.884,0.820,1.175,36.584,12.056,24.149
2.083,0.060,0.775,0.948,16.747,3.355,23.889,19.966,41.871,29.101
9.608,19.755,39.056,7.492,0.210,21.017,7.193,5.517,14.906,0.170
3.833,8.105,2.905,1.518,16.354,6.028,2.408,9.977,9.100,5.145
22.989,1.583,28.579,5.021,17.879,27.929,28.279,21.267,19.008,13.692
23.688,9.203,3.235,30.215,2.821,9.501,8.417,19.988,10.792,1.565
4.048,2.152,0.492,8.087,3.629,1.623,21.412,6.826,14.239,28.676
13.478,7.157,16.919,7.175,35.800,8.787,27.454,0.822,18.846,10.582
1.266,3.210,40.787,11.501,23.853,10.971,5.501,0.133,30.138,14.616
15.374,13.373,8.275,13.879,4.477,9.352,1.459,4.708,38.373,8.008
4.019,16.147,0.628,3.574,10.489,22.181,7.570,1.049,22.727,2.233
1.862,15.821,5.699,0.803,5.595,3.376,17.213,28.142,19.329,2.561
16.653,10.357,16.648,19.916,5.733,39.676,5.670,25.838,0.279,0.694
1.537,1.689,25.577,7.537,6.162,1.105,2.080,17.843,28.029,3.917
29.471,32.182,0.933,13.971,25.896,23.336,33.291,35.021,12.604,17.678
23.059,5.179,1.757,1.144,12.054,4.420,9.570,6.300,2.109,0.009
19.147,4.217,5.304,13.889,1.057,35.549,6.755,8.895,8.231,0.547
0.659,13.031,26.854,13.463,2.993,19.842,3.133,13.829,4.378,8.204
0.838,37.618,1.561,6.758,3.159,12.266,3.511,12.720,34.884,14.393
1.317,6.727,8.056,13.381,8.061,31.596,13.605,1.134,19.308,40.899
27.889,41.732,13.664,1.842,14.537,0.377,9.201,27.208,44.818,35.904
1.938,6.564,5.079,7.538,36.332,1.166,19.467,26.193,15.997,7.877
42.930,3.388,28.941,35.404,5.238,34.076,16.328,33.613,19.974,26.592
0.959,1.198,17.692,4.532,1.797,4.246,9.332,3.297,16.538,1.459
19.257,15.938,25.810,24.534,6.078,8.155,1.588,42.721,15.169,19.221
17.276,4.776,13.850,0.510,2.902,39.801,33.437,6.570,1.149,44.059
1.740,20.600,13.917,30.969,2.438,8.032,2.338,7.768,5.685,29.951
0.178,14.504,0.256,6.216,1.833,36.844,24.337,18.387,32.503,9.823
1.815,2.297,15.201,8.125,12.475,11.358,19.620,13.989,4.365,26.553
